Job,Operation,Machine,Start,End,Duration
9,1,1,0.0,76.0,76
5,2,1,102.0,108.0,6
2,1,1,108.0,151.0,43
1,1,1,151.0,180.0,29
10,2,1,180.0,193.0,13
8,2,1,193.0,279.0,86
7,2,1,279.0,316.0,37
3,2,1,316.0,401.0,85
4,3,1,484.0,555.0,71
6,7,1,956.0,1003.0,47
10,1,2,0.0,85.0,85
3,1,2,85.0,176.0,91
5,3,2,176.0,198.0,22
7,1,2,198.0,244.0,46
4,1,2,244.0,325.0,81
8,3,2,325.0,371.0,46
9,2,2,371.0,440.0,69
6,2,2,440.0,442.0,2
1,2,2,442.0,520.0,78
2,6,2,675.0,703.0,28
5,1,3,0.0,14.0,14
6,1,3,36.0,120.0,84
8,1,3,120.0,151.0,31
2,2,3,151.0,241.0,90
10,3,3,250.0,311.0,61
4,2,3,332.0,427.0,95
7,4,3,427.0,440.0,13
3,4,3,440.0,514.0,74
1,3,3,520.0,529.0,9
9,5,3,567.0,652.0,85
5,5,4,293.0,319.0,26
7,3,4,340.0,401.0,61
3,3,4,401.0,440.0,39
9,3,4,440.0,516.0,76
2,5,4,541.0,610.0,69
6,4,4,610.0,705.0,95
1,4,4,705.0,741.0,36
10,8,4,848.0,900.0,52
8,10,4,905.0,984.0,79
4,8,4,984.0,1082.0,98
5,6,5,319.0,388.0,69
2,3,5,389.0,464.0,75
8,5,5,464.0,496.0,32
4,4,5,555.0,654.0,99
1,5,5,741.0,790.0,49
10,9,5,900.0,990.0,90
9,9,5,990.0,1016.0,26
7,10,5,1016.0,1071.0,55
6,9,5,1071.0,1077.0,6
3,10,5,1077.0,1110.0,33
5,4,6,232.0,293.0,61
8,4,6,390.0,464.0,74
6,3,6,464.0,516.0,52
9,4,6,516.0,567.0,51
7,6,6,567.0,588.0,21
3,6,6,676.0,686.0,10
1,6,6,790.0,801.0,11
10,7,6,801.0,848.0,47
2,8,6,848.0,894.0,46
4,10,6,1104.0,1147.0,43
10,4,7,311.0,318.0,7
7,5,7,440.0,472.0,32
8,6,7,566.0,654.0,88
4,5,7,654.0,663.0,9
9,7,7,663.0,703.0,40
2,7,7,703.0,749.0,46
1,7,7,801.0,863.0,62
3,8,7,863.0,952.0,89
6,8,7,1003.0,1068.0,65
5,10,7,1068.0,1121.0,53
5,8,8,409.0,458.0,49
3,7,8,691.0,703.0,12
9,8,8,703.0,792.0,89
7,9,8,792.0,822.0,30
8,9,8,822.0,858.0,36
4,7,8,858.0,943.0,85
1,8,8,943.0,999.0,56
2,9,8,999.0,1071.0,72
6,10,8,1077.0,1102.0,25
10,10,8,1102.0,1147.0,45
10,5,9,318.0,382.0,64
5,7,9,388.0,409.0,21
3,5,9,586.0,676.0,90
8,7,9,676.0,695.0,19
7,8,9,695.0,784.0,89
4,6,9,784.0,836.0,52
6,5,9,836.0,884.0,48
1,9,9,999.0,1043.0,44
9,10,9,1043.0,1117.0,74
2,10,9,1117.0,1147.0,30
10,6,10,382.0,458.0,76
5,9,10,458.0,530.0,72
2,4,10,530.0,541.0,11
9,6,10,652.0,663.0,11
7,7,10,663.0,695.0,32
8,8,10,695.0,743.0,48
6,6,10,884.0,956.0,72
3,9,10,956.0,1001.0,45
4,9,10,1082.0,1104.0,22
1,10,10,1126.0,1147.0,21
