Job,Operation,Machine,Start,End,Duration
3,1,3,0,5,5
1,1,3,5,6,1
3,2,4,5,9,4
2,1,2,0,8,8
2,2,3,8,13,5
4,1,2,8,13,5
6,1,2,13,16,3
4,2,1,13,18,5
1,2,1,18,21,3
2,3,5,13,23,10
3,3,6,9,17,8
5,1,3,13,22,9
6,2,4,16,19,3
4,3,3,22,27,5
6,3,6,19,28,9
3,4,1,21,30,9
5,2,2,22,25,3
4,4,4,27,30,3
5,3,5,25,30,5
1,3,2,25,31,6
3,5,2,31,32,1
1,4,4,31,38,7
4,5,5,30,38,8
2,4,6,28,38,10
6,4,1,30,40,10
2,5,1,40,50,10
1,5,6,38,41,3
3,6,5,38,45,7
2,6,4,50,54,4
5,4,6,41,45,4
4,6,6,45,54,9
6,5,5,45,49,4
5,5,1,50,53,3
6,6,3,49,50,1
5,6,4,54,55,1
1,6,5,49,55,6
